,Random Forest,Oscillation time slot for train--> 8.1 to 8.4(20 seconds)   and for test --> 6.1 to 6.4(14 seconds),,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ID,Ngram,Overlap,Number of Ngrams in the training set,Number of Ngrams in the testing set,Macro-average F1 score,Train Time,Test time for entire dataset,Test time per sample(in microseconds),model size 
1,300,0.95,19981,7981,0.427516,76.43877,0.086128,10.791689,2395257
2,300,0.85,6661,2661,0.426538,20.92001,0.040253,15.127171,2353929
3,300,0.75,3997,1597,0.480867,11.595407,0.026138,16.367129,2315481
4,300,0.5,1999,799,0.51773,5.765468,0.015563,19.477813,1498409
5,250,0.95,23058,9212,0.444182,78.33214,0.187324,20.334812,2494041
6,250,0.85,7889,3152,0.432113,23.476349,0.042109,13.359534,1753017
7,250,0.75,4758,1901,0.414651,13.140936,0.027462,14.446209,1733417
8,250,0.5,2399,959,0.470586,5.896968,0.016798,17.515934,1569689
9,200,0.95,29981,11981,0.448564,98.932398,0.119843,10.002755,2740425
10,200,0.85,9994,3994,0.443833,28.267583,0.044343,11.102522,1915305
11,200,0.75,5997,2397,0.423328,16.075346,0.05501,22.949554,1483881
12,200,0.5,2999,1199,0.428147,6.43413,0.018742,15.631629,1332953
13,150,0.95,37482,14982,0.436734,112.224529,0.160006,10.67987,2813433
14,150,0.85,13037,5211,0.451535,31.924687,0.054863,10.528255,2676633
15,150,0.75,7891,3154,0.42905,18.235422,0.037578,11.914277,2055689
16,150,0.5,3999,1599,0.436931,8.440621,0.0238,14.884536,2045913
17,100,0.95,59981,23981,0.441385,153.427408,0.207334,8.645763,3483321
18,100,0.85,19994,7994,0.425404,44.960846,0.11096,13.880381,2850585
19,100,0.75,11997,4797,0.413189,24.420977,0.051157,10.664373,2453577
20,100,0.5,5999,2399,0.391598,11.344616,0.031362,13.072772,2046489
21,70,0.95,74983,29983,0.419991,163.708252,0.249989,8.3377,3296121
22,70,0.85,27267,10903,0.409761,48.810913,0.094579,8.674627,3061689
23,70,0.75,16663,6663,0.39539,27.959182,0.064725,9.714117,3403401
24,70,0.5,8570,3427,0.414978,13.43251,0.036354,10.608061,1861577
25,50,0.95,99984,39984,0.421197,190.271335,0.336123,8.406449,4569513
26,50,0.85,37494,14994,0.423675,59.859245,0.132916,8.864611,4645833
27,50,0.75,23074,9227,0.424093,34.392058,0.086368,9.360313,4317945
28,50,0.5,11999,4799,0.406539,16.229162,0.049297,10.272269,2731641
29,20,0.95,299981,119981,0.430936,364.032624,0.969081,8.076951,7100745
30,20,0.85,99994,39994,0.430635,104.160343,0.341548,8.539986,5836425
31,20,0.75,59997,23997,0.424452,59.567336,0.193886,8.079605,5018505
32,20,0.5,29999,11999,0.419431,25.890798,0.104651,8.721681,4028649
33,10,0.95,299991,119991,0.442356,275.577154,1.31781,10.982572,7931625
34,10,0.85,149996,59996,0.442428,127.958143,0.662972,11.05027,6309609
35,10,0.75,99997,39997,0.440154,80.988593,0.316367,7.90976,5279577
36,10,0.5,59999,23999,0.423671,43.512576,0.199138,8.297769,4427385